time,pos1,pos2,vel1,vel2,tau1,tau2
0.000000000000000000e+00,1.707963267948966468e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.357345571900355985e-01
4.499999999999999660e-03,1.707963267948966468e-01,0.000000000000000000e+00,-2.381834950320997884e-03,-3.275700056396884004e-03,0.000000000000000000e+00,-5.344366429730941226e-01
8.999999999999999320e-03,1.707856085376202038e-01,-1.474065025378597630e-05,-4.781277361683839572e-03,-6.516162520159387607e-03,0.000000000000000000e+00,-5.332059108888417276e-01
1.349999999999999811e-02,1.707640927894926164e-01,-4.406338159450321694e-05,-7.197645048676632080e-03,-9.721977922295226004e-03,0.000000000000000000e+00,-5.320409576027496090e-01
1.799999999999999864e-02,1.707317033867735701e-01,-8.781228224483173287e-05,-9.630261592125367170e-03,-1.289372452221604001e-02,0.000000000000000000e+00,-5.309404156415898912e-01
2.249999999999999917e-02,1.706883672096090043e-01,-1.458340425948039182e-04,-1.207845623710368001e-02,-1.603196860809018992e-02,0.000000000000000000e+00,-5.299029527006452467e-01
2.699999999999999969e-02,1.706340141565420299e-01,-2.179779013312097588e-04,-1.454156379377592387e-02,-1.913726479091842902e-02,0.000000000000000000e+00,-5.289272709641804626e-01
3.150000000000000022e-02,1.705685771194700440e-01,-3.040955928903426642e-04,-1.701892454102107294e-02,-2.221015629245311207e-02,0.000000000000000000e+00,-5.280121064387567342e-01
3.599999999999999728e-02,1.704919919590354438e-01,-4.040412962063816369e-04,-1.950988413278587422e-02,-2.525117522707896051e-02,0.000000000000000000e+00,-5.271562282989976644e-01
4.049999999999999434e-02,1.704041974804379189e-01,-5.176715847282368967e-04,-2.201379350711762939e-02,-2.826084287776973666e-02,0.000000000000000000e+00,-5.263584382454054023e-01
4.499999999999999140e-02,1.703051354096558889e-01,-6.448453776782006814e-04,-2.453000879782756341e-02,-3.123966996623253264e-02,0.000000000000000000e+00,-5.256175698739031787e-01
4.949999999999998845e-02,1.701947503700656783e-01,-7.854238925262470739e-04,-2.705789124873739238e-02,-3.418815691734852780e-02,0.000000000000000000e+00,-5.249324880567158846e-01
5.399999999999998551e-02,1.700729898594463552e-01,-9.392705986543154351e-04,-2.959680713046254977e-02,-3.710679411801631744e-02,0.000000000000000000e+00,-5.243020883343089134e-01
5.849999999999998257e-02,1.699398042273592702e-01,-1.106251172185388930e-03,-3.214612765968678093e-02,-3.999606217050107743e-02,0.000000000000000000e+00,-5.237252963180403231e-01
6.299999999999998657e-02,1.697951466528906661e-01,-1.286233451952643837e-03,-3.470522892088367950e-02,-4.285643214039097648e-02,0.000000000000000000e+00,-5.232010671032480964e-01
6.749999999999999056e-02,1.696389731227467002e-01,-1.479087396584403144e-03,-3.727349179044183586e-02,-4.568836579925905639e-02,0.000000000000000000e+00,-5.227283846924991595e-01
7.199999999999999456e-02,1.694712424096897208e-01,-1.684685042681068967e-03,-3.985030186315111772e-02,-4.849231586212724571e-02,0.000000000000000000e+00,-5.223062614287170558e-01
7.649999999999999856e-02,1.692919160513055299e-01,-1.902900464060641597e-03,-4.243504938100851193e-02,-5.126872621982652561e-02,0.000000000000000000e+00,-5.219337374379452443e-01
8.100000000000000255e-02,1.691009583290910001e-01,-2.133609732049861121e-03,-4.502712916430284817e-02,-5.401803216634547267e-02,0.000000000000000000e+00,-5.216098800815192060e-01
8.550000000000000655e-02,1.688983362478516381e-01,-2.376690876798415869e-03,-4.762594054493836382e-02,-5.674066062125704413e-02,0.000000000000000000e+00,-5.213337834173884522e-01
9.000000000000001055e-02,1.686840195153994082e-01,-2.632023849594072439e-03,-5.023088730195804374e-02,-5.943703034731212531e-02,0.000000000000000000e+00,-5.211045676704116891e-01
9.450000000000001454e-02,1.684579805225406013e-01,-2.899490486156976882e-03,-5.284137759922822447e-02,-6.210755216328599920e-02,0.000000000000000000e+00,-5.209213787113794458e-01
9.900000000000001854e-02,1.682201943233440633e-01,-3.178974470891763725e-03,-5.545682392524675652e-02,-6.475262915216230264e-02,0.000000000000000000e+00,-5.207833875446064020e-01
1.035000000000000225e-01,1.679706386156804565e-01,-3.470361302076493959e-03,-5.807664303503751180e-02,-6.737265686473752069e-02,0.000000000000000000e+00,-5.206897898038793659e-01
1.080000000000000265e-01,1.677092937220227842e-01,-3.773538257967812802e-03,-6.070025589409497324e-02,-6.996802351872720427e-02,0.000000000000000000e+00,-5.206398052566052481e-01
1.125000000000000305e-01,1.674361425704993522e-01,-4.088394363802085214e-03,-6.332708762434277605e-02,-7.253911019345375688e-02,0.000000000000000000e+00,-5.206326773159789534e-01
1.170000000000000345e-01,1.671511706761898142e-01,-4.414820359672627474e-03,-6.595656745207111038e-02,-7.508629102019391544e-02,0.000000000000000000e+00,-5.206676725610269729e-01
1.215000000000000385e-01,1.668543661226555008e-01,-4.752708669263500108e-03,-6.858812865781797885e-02,-7.760993336826296773e-02,0.000000000000000000e+00,-5.207440802643579225e-01
1.260000000000000286e-01,1.665457195436953197e-01,-5.101953369420683497e-03,-7.122120852816038461e-02,-8.011039802691093115e-02,0.000000000000000000e+00,-5.208612119275014551e-01
1.305000000000000326e-01,1.662252241053185919e-01,-5.462450160541782763e-03,-7.385524830938115792e-02,-8.258803938310507742e-02,0.000000000000000000e+00,-5.210184008236754538e-01
1.350000000000000366e-01,1.658928754879263889e-01,-5.834096337765755889e-03,-7.648969316297871135e-02,-8.504320559527141221e-02,0.000000000000000000e+00,-5.212150015478792531e-01
1.395000000000000406e-01,1.655486718686929870e-01,-6.216790762944477376e-03,-7.912399212298634743e-02,-8.747623876306710733e-02,0.000000000000000000e+00,-5.214503895741674500e-01
1.440000000000000446e-01,1.651926139041395569e-01,-6.610433837378279325e-03,-8.175759805506886690e-02,-8.988747509325409335e-02,0.000000000000000000e+00,-5.217239608200094914e-01
1.485000000000000486e-01,1.648247047128917342e-01,-7.014927475297922342e-03,-8.438996761736454466e-02,-9.227724506174325714e-02,0.000000000000000000e+00,-5.220351312176144676e-01
1.530000000000000526e-01,1.644449498586136038e-01,-7.430175078075767006e-03,-8.702056122304048513e-02,-9.464587357187767558e-02,0.000000000000000000e+00,-5.223833362921216361e-01
1.575000000000000566e-01,1.640533573331099115e-01,-7.856081509149216713e-03,-8.964884300453022925e-02,-9.699368010902199855e-02,0.000000000000000000e+00,-5.227680307465603082e-01
1.620000000000000606e-01,1.636499375395895350e-01,-8.292553069639815866e-03,-9.227428077942263773e-02,-9.932097889152421977e-02,0.000000000000000000e+00,-5.231886880534837303e-01
1.665000000000000646e-01,1.632347032760821381e-01,-8.739497474651674452e-03,-9.489634601797129754e-02,-1.016280790181151167e-01,0.000000000000000000e+00,-5.236448000531972458e-01
1.710000000000000686e-01,1.628076697190012634e-01,-9.196823830233192762e-03,-9.751451381219404524e-02,-1.039152846118099049e-01,0.000000000000000000e+00,-5.241358765584777091e-01
1.755000000000000726e-01,1.623688544068463968e-01,-9.664442610986336696e-03,-1.001282628465327562e-01,-1.061828949603751265e-01,0.000000000000000000e+00,-5.246614449657373003e-01
1.800000000000000766e-01,1.619182772240370105e-01,-1.014226563830802549e-02,-1.027370753700433126e-01,-1.084312046534237212e-01,0.000000000000000000e+00,-5.252210498725286003e-01
1.845000000000000806e-01,1.614559603848718106e-01,-1.063020605924843223e-02,-1.053404371700864262e-01,-1.106605037161999816e-01,0.000000000000000000e+00,-5.258142527013365264e-01
1.890000000000000846e-01,1.609819284176064180e-01,-1.112817832597133225e-02,-1.079378375474899787e-01,-1.128710777401150112e-01,0.000000000000000000e+00,-5.264406313295821871e-01
1.935000000000000886e-01,1.604962081486427106e-01,-1.163609817580184974e-02,-1.105287692931537502e-01,-1.150632080100932320e-01,0.000000000000000000e+00,-5.270997797257874762e-01
1.980000000000000926e-01,1.599988286868235243e-01,-1.215388261184726856e-02,-1.131127286660677939e-01,-1.172371716287889665e-01,0.000000000000000000e+00,-5.277913075918232444e-01
2.025000000000000966e-01,1.594898214078262211e-01,-1.268144988417681945e-02,-1.156892153727157868e-01,-1.193932416377320727e-01,0.000000000000000000e+00,-5.285148400112005262e-01
2.070000000000001006e-01,1.589692199386489868e-01,-1.321871947154661456e-02,-1.182577325478350178e-01,-1.215316871354601702e-01,0.000000000000000000e+00,-5.292700171033447587e-01
2.115000000000001046e-01,1.584370601421837277e-01,-1.376561206365618448e-02,-1.208177867365046176e-01,-1.236527733926951200e-01,0.000000000000000000e+00,-5.300564936837982577e-01
2.160000000000001086e-01,1.578933801018694572e-01,-1.432204954392331253e-02,-1.233688878775341946e-01,-1.257567619646199897e-01,0.000000000000000000e+00,-5.308739389303119838e-01
2.205000000000001126e-01,1.573382201064205399e-01,-1.488795497276410203e-02,-1.259105492881247845e-01,-1.278439108003126268e-01,0.000000000000000000e+00,-5.317220360547729729e-01
2.250000000000001166e-01,1.567716226346239916e-01,-1.546325257136550897e-02,-1.284422876497746668e-01,-1.299144743493910181e-01,0.000000000000000000e+00,-5.326004819809306845e-01
2.295000000000001206e-01,1.561936323402000060e-01,-1.604786770593776696e-02,-1.309636229954021513e-01,-1.319687036659251689e-01,0.000000000000000000e+00,-5.335089870278744151e-01
2.340000000000001246e-01,1.556042960367206851e-01,-1.664172687243442930e-02,-1.334740786976582883e-01,-1.340068465096695416e-01,0.000000000000000000e+00,-5.344472745992249196e-01
2.385000000000001286e-01,1.550036626825812280e-01,-1.724475768172794091e-02,-1.359731814584019538e-01,-1.360291474446694571e-01,0.000000000000000000e+00,-5.354150808780128168e-01
2.430000000000001326e-01,1.543917833660184147e-01,-1.785688884522895412e-02,-1.384604612993102779e-01,-1.380358479352945533e-01,0.000000000000000000e+00,-5.364121545271895997e-01
2.475000000000001366e-01,1.537687112901715281e-01,-1.847805016093777980e-02,-1.409354515535974905e-01,-1.400271864397514276e-01,0.000000000000000000e+00,-5.374382563957555980e-01
2.520000000000001128e-01,1.531345017581803303e-01,-1.910817249991665981e-02,-1.433976888588152088e-01,-1.420033985011275590e-01,0.000000000000000000e+00,-5.384931592304603720e-01
2.565000000000001168e-01,1.524892121583156512e-01,-1.974718779317173253e-02,-1.458467131507073800e-01,-1.439647168360173868e-01,0.000000000000000000e+00,-5.395766473930553309e-01
2.610000000000001208e-01,1.518329019491374554e-01,-2.039502901893381140e-02,-1.482820676580932917e-01,-1.459113714207816437e-01,0.000000000000000000e+00,-5.406885165830521700e-01
2.655000000000001248e-01,1.511656326446760290e-01,-2.105163019032732855e-02,-1.507032988987522248e-01,-1.478435895754901253e-01,0.000000000000000000e+00,-5.418285735659856828e-01
2.700000000000001288e-01,1.504874677996316523e-01,-2.171692634341703537e-02,-1.531099566762829378e-01,-1.497615960455973005e-01,0.000000000000000000e+00,-5.429966359071222159e-01
2.745000000000001328e-01,1.497984729945883720e-01,-2.239085352562222159e-02,-1.555015940779121975e-01,-1.516656130814004744e-01,0.000000000000000000e+00,-5.441925317106177662e-01
2.790000000000001368e-01,1.490987158212377650e-01,-2.307334878448852322e-02,-1.578777674732255443e-01,-1.535558605153290457e-01,0.000000000000000000e+00,-5.454160993640728705e-01
2.835000000000001408e-01,1.483882658676082544e-01,-2.376435015680750454e-02,-1.602380365137947293e-01,-1.554325558371128235e-01,0.000000000000000000e+00,-5.466671872884851791e-01
2.880000000000001448e-01,1.476671947032961729e-01,-2.446379665807451101e-02,-1.625819641336752608e-01,-1.572959142668778620e-01,0.000000000000000000e+00,-5.479456536935517486e-01
2.925000000000001488e-01,1.469355758646946342e-01,-2.517162827227546057e-02,-1.649091165507485246e-01,-1.591461488262164992e-01,0.000000000000000000e+00,-5.492513663383221667e-01
2.970000000000001528e-01,1.461934848402162701e-01,-2.588778594199343461e-02,-1.672190632688823064e-01,-1.609834704072788392e-01,0.000000000000000000e+00,-5.505842022971589866e-01
3.015000000000001568e-01,1.454409990555063092e-01,-2.661221155882619038e-02,-1.695113770808842901e-01,-1.628080878399320586e-01,0.000000000000000000e+00,-5.519440477309962567e-01
3.060000000000001608e-01,1.446781978586423323e-01,-2.734484795410588309e-02,-1.717856340722223873e-01,-1.646202079570333598e-01,0.000000000000000000e+00,-5.533307976638675019e-01
3.105000000000001648e-01,1.439051625053173189e-01,-2.808563888991253213e-02,-1.740414136254868904e-01,-1.664200356578621476e-01,0.000000000000000000e+00,-5.547443557646904999e-01
3.150000000000001688e-01,1.431219761440026272e-01,-2.883452905037291181e-02,-1.762782984255684138e-01,-1.682077739697566687e-01,0.000000000000000000e+00,-5.561846341342732147e-01
3.195000000000001728e-01,1.423287238010875755e-01,-2.959146403323681743e-02,-1.784958744655265606e-01,-1.699836241079994703e-01,0.000000000000000000e+00,-5.576515530975388879e-01
3.240000000000001767e-01,1.415254923659927111e-01,-3.035639034172281370e-02,-1.806937310531238627e-01,-1.717477855339961668e-01,0.000000000000000000e+00,-5.591450410009313199e-01
3.285000000000001807e-01,1.407123705762536592e-01,-3.112925537662579803e-02,-1.828714608179997092e-01,-1.735004560117910932e-01,0.000000000000000000e+00,-5.606650340149939016e-01
3.330000000000001847e-01,1.398894490025726633e-01,-3.191000742867886042e-02,-1.850286597194592819e-01,-1.752418316629632822e-01,0.000000000000000000e+00,-5.622114759420900887e-01
3.375000000000001887e-01,1.390568200338350990e-01,-3.269859567116219223e-02,-1.871649270548523258e-01,-1.769721070199455626e-01,0.000000000000000000e+00,-5.637843180292588796e-01
3.420000000000001927e-01,1.382145778620882670e-01,-3.349497015275194889e-02,-1.892798654685167448e-01,-1.786914750778094974e-01,0.000000000000000000e+00,-5.653835187861678824e-01
3.465000000000001967e-01,1.373628184674799413e-01,-3.429908179060209283e-02,-1.913730809612623762e-01,-1.804001273445580422e-01,0.000000000000000000e+00,-5.670090438081585305e-01
3.510000000000002007e-01,1.365016396031542567e-01,-3.511088236365260407e-02,-1.934441829003698821e-01,-1.820982538899675318e-01,0.000000000000000000e+00,-5.686608656043504739e-01
3.555000000000002047e-01,1.356311407801026048e-01,-3.593032450615745582e-02,-1.954927840300804687e-01,-1.837860433930204318e-01,0.000000000000000000e+00,-5.703389634307928224e-01
3.600000000000002087e-01,1.347514232519672339e-01,-3.675736170142604453e-02,-1.975185004825513457e-01,-1.854636831879693526e-01,0.000000000000000000e+00,-5.720433231286365938e-01
3.645000000000002127e-01,1.338625899997957502e-01,-3.759194827577190534e-02,-1.995209517892530260e-01,-1.871313593090730976e-01,0.000000000000000000e+00,-5.737739369673082734e-01
3.690000000000002167e-01,1.329647457167441038e-01,-3.843403939266273189e-02,-2.014997608927837636e-01,-1.887892565340441586e-01,0.000000000000000000e+00,-5.755308034926577276e-01
3.735000000000002207e-01,1.320579967927265896e-01,-3.928359104706592719e-02,-2.034545541590769002e-01,-1.904375584262478216e-01,0.000000000000000000e+00,-5.773139273800715898e-01
3.780000000000002247e-01,1.311424512990107538e-01,-4.014056005998404425e-02,-2.053849613899770277e-01,-1.920764473756914337e-01,0.000000000000000000e+00,-5.791233192925084872e-01
3.825000000000002287e-01,1.302182189727558448e-01,-4.100490407317465558e-02,-2.072906158361611517e-01,-1.937061046388429131e-01,0.000000000000000000e+00,-5.809589957434532215e-01
3.870000000000002327e-01,1.292854112014931167e-01,-4.187658154404944738e-02,-2.091711542103805166e-01,-1.953267103773165814e-01,0.000000000000000000e+00,-5.828209789647565975e-01
3.915000000000002367e-01,1.283441410075464029e-01,-4.275555174074736897e-02,-2.110262167009997469e-01,-1.969384436954641215e-01,0.000000000000000000e+00,-5.847092967793335871e-01
3.960000000000002407e-01,1.273945230323919042e-01,-4.364177473737695934e-02,-2.128554469858094378e-01,-1.985414826769082985e-01,0.000000000000000000e+00,-5.866239824787078394e-01
4.005000000000002447e-01,1.264366735209557502e-01,-4.453521140942304918e-02,-2.146584922460886002e-01,-2.001360044200562460e-01,0.000000000000000000e+00,-5.885650747053622345e-01
4.050000000000002487e-01,1.254707103058483597e-01,-4.543582342931330037e-02,-2.164350031808938146e-01,-2.017221850726289012e-01,0.000000000000000000e+00,-5.905326173398828260e-01
4.095000000000002527e-01,1.244967527915343403e-01,-4.634357326214012807e-02,-2.181846340215515823e-01,-2.033001998652429199e-01,0.000000000000000000e+00,-5.925266593928633085e-01
4.140000000000002567e-01,1.235149219384373553e-01,-4.725842416153372416e-02,-2.199070425463310607e-01,-2.048702231440804877e-01,0.000000000000000000e+00,-5.945472549015445862e-01
4.185000000000002607e-01,1.225253402469788644e-01,-4.818034016568208816e-02,-2.216018900952738957e-01,-2.064324284026826106e-01,0.000000000000000000e+00,-5.965944628311622422e-01
4.230000000000002647e-01,1.215281317415501383e-01,-4.910928609349415885e-02,-2.232688415851586394e-01,-2.079869883129005781e-01,0.000000000000000000e+00,-5.986683469809791491e-01
4.275000000000002687e-01,1.205234219544169261e-01,-5.004522754090220960e-02,-2.249075655245768857e-01,-2.095340747550400173e-01,0.000000000000000000e+00,-6.007689758949634751e-01
4.320000000000002727e-01,1.195113379095563283e-01,-5.098813087729989202e-02,-2.265177340290987773e-01,-2.110738588472316490e-01,0.000000000000000000e+00,-6.028964227770967632e-01
4.365000000000002767e-01,1.184920081064253783e-01,-5.193796324211243098e-02,-2.280990228365055716e-01,-2.126065109740621628e-01,0.000000000000000000e+00,-6.050507654112705636e-01
4.410000000000002807e-01,1.174655625036611084e-01,-5.289469254149570948e-02,-2.296511113220670031e-01,-2.141322008144984079e-01,0.000000000000000000e+00,-6.072320860857522984e-01
4.455000000000002847e-01,1.164321325027118104e-01,-5.385828744516095445e-02,-2.311736825138414886e-01,-2.156510973691376509e-01,0.000000000000000000e+00,-6.094404715221795055e-01
4.500000000000002887e-01,1.153918509313995172e-01,-5.482871738332207451e-02,-2.326664231079775547e-01,-2.171633689868159856e-01,0.000000000000000000e+00,-6.116760128090551474e-01
4.545000000000002927e-01,1.143448520274136238e-01,-5.580595254376274905e-02,-2.341290234839947249e-01,-2.186691833906067028e-01,0.000000000000000000e+00,-6.139388053397180078e-01
4.590000000000002967e-01,1.132912714217356454e-01,-5.678996386902047944e-02,-2.355611777200224410e-01,-2.201687077032403184e-01,0.000000000000000000e+00,-6.162289487547426559e-01
4.635000000000003006e-01,1.122312461219955454e-01,-5.778072305368506245e-02,-2.369625836079759518e-01,-2.216621084719766488e-01,0.000000000000000000e+00,-6.185465468887475504e-01
4.680000000000003046e-01,1.111649144957596591e-01,-5.877820254180896042e-02,-2.383329426686479902e-01,-2.231495516929598022e-01,0.000000000000000000e+00,-6.208917077215699853e-01
4.725000000000003086e-01,1.100924162537507411e-01,-5.978237552442727809e-02,-2.396719601666955912e-01,-2.246312028350860024e-01,0.000000000000000000e+00,-6.232645433337756780e-01
4.770000000000003126e-01,1.090138924330006087e-01,-6.079321593718516742e-02,-2.409793451255012597e-01,-2.261072268634136961e-01,0.000000000000000000e+00,-6.256651698664675854e-01
4.815000000000003166e-01,1.079294853799358522e-01,-6.181069845807053015e-02,-2.422548103418885046e-01,-2.275777882621452808e-01,0.000000000000000000e+00,-6.280937074853600866e-01
4.860000000000003206e-01,1.068393387333973488e-01,-6.283479850525018617e-02,-2.434980724006709785e-01,-2.290430510572090128e-01,0.000000000000000000e+00,-6.305502803490737884e-01
4.905000000000003246e-01,1.057435974075943280e-01,-6.386549223500762040e-02,-2.447088516890160159e-01,-2.305031788384692137e-01,0.000000000000000000e+00,-6.330350165816279739e-01
4.950000000000003286e-01,1.046424075749937538e-01,-6.490275653978072601e-02,-2.458868724106022807e-01,-2.319583347815928620e-01,0.000000000000000000e+00,-6.355480482490748484e-01
4.995000000000003326e-01,1.035359166491460481e-01,-6.594656904629789262e-02,-2.470318625995524819e-01,-2.334086816695994659e-01,0.000000000000000000e+00,-6.380895113402589303e-01
5.040000000000003366e-01,1.024242732674480599e-01,-6.699690811381109334e-02,-2.481435541341217021e-01,-2.348543819141214739e-01,0.000000000000000000e+00,-6.406595457516354175e-01
5.085000000000002851e-01,1.013076272738445138e-01,-6.805375283242463824e-02,-2.492216827501226029e-01,-2.362955975764013117e-01,0.000000000000000000e+00,-6.432582952761372042e-01
5.130000000000002336e-01,1.001861297014689650e-01,-6.911708302151844951e-02,-2.502659880540686332e-01,-2.377324903880512486e-01,0.000000000000000000e+00,-6.458859075960239338e-01
5.175000000000001821e-01,9.905993275522564923e-02,-7.018687922826467862e-02,-2.512762135360170346e-01,-2.391652217716012940e-01,0.000000000000000000e+00,-6.485425342796936610e-01
5.220000000000001306e-01,9.792918979431357307e-02,-7.126312272623688826e-02,-2.522521065820930719e-01,-2.405939528608605493e-01,0.000000000000000000e+00,-6.512283307823983902e-01
5.265000000000000790e-01,9.679405531469414958e-02,-7.234579551411075837e-02,-2.531934184866780901e-01,-2.420188445211160222e-01,0.000000000000000000e+00,-6.539434564508355141e-01
5.310000000000000275e-01,9.565468493150409979e-02,-7.343488031445577491e-02,-2.540999044642435201e-01,-2.434400573691936076e-01,0.000000000000000000e+00,-6.566880745315619716e-01
