time,pos1,pos2,vel1,vel2,tau1,tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.495086356435372688e-01
5.000000000000000104e-03,7.970254976276833431e-04,-1.553289902879452207e-03,3.187163672576981410e-01,-6.211380976518525721e-01,0.000000000000000000e+00,-8.119448053833363543e-01
1.000000000000000021e-02,3.069805705422228980e-03,-5.982766695108008952e-03,5.901240913202694394e-01,-1.150137453451596681e+00,0.000000000000000000e+00,-6.959708738506051873e-01
1.499999999999999944e-02,6.597357584911965091e-03,-1.285819114360856746e-02,8.204651958004737233e-01,-1.599213335198053976e+00,0.000000000000000000e+00,-6.025527829409190739e-01
2.000000000000000042e-02,1.119097814884321800e-02,-2.181246389746030467e-02,1.016406829621315566e+00,-1.981401092393374697e+00,0.000000000000000000e+00,-5.283842749967747610e-01
2.500000000000000139e-02,1.669275175029480765e-02,-3.253867773650830075e-02,1.183595707887211246e+00,-2.307740369961201132e+00,0.000000000000000000e+00,-4.687416076539523413e-01
2.999999999999999889e-02,2.296924702923480721e-02,-4.477780205074703701e-02,1.326178817038903501e+00,-2.586342339633145304e+00,0.000000000000000000e+00,-4.195092608971902615e-01
3.500000000000000333e-02,2.990453293506028024e-02,-5.830504623052681912e-02,1.447010086128491801e+00,-2.822793527677560199e+00,0.000000000000000000e+00,-3.778157958426131002e-01
4.000000000000000083e-02,3.739477233790825667e-02,-7.291930218960543386e-02,1.548074389326812295e+00,-3.020982941901998231e+00,0.000000000000000000e+00,-3.419132028043642135e-01
4.499999999999999833e-02,4.534483759006228271e-02,-8.843653089834720149e-02,1.630871863546697886e+00,-3.183851661385839193e+00,0.000000000000000000e+00,-3.108138786182215729e-01
5.000000000000000278e-02,5.366653882657138747e-02,-1.046862945722117633e-01,1.696678286276717573e+00,-3.313900735621435167e+00,0.000000000000000000e+00,-2.839546077474036645e-01
5.499999999999999334e-02,6.227786305476343265e-02,-1.215102607428977244e-01,1.746688772667242429e+00,-3.413471573819770288e+00,0.000000000000000000e+00,-2.609748668439764163e-01
5.999999999999999084e-02,7.110273462969748937e-02,-1.387617239189901097e-01,1.782082559772811159e+00,-3.484872452003426879e+00,0.000000000000000000e+00,-2.416026055710420728e-01
6.499999999999998834e-02,8.007099300785330831e-02,-1.563055517565912211e-01,1.804045184382036870e+00,-3.530421911273962543e+00,0.000000000000000000e+00,-2.256101917946241320e-01
6.999999999999999278e-02,8.911843510312929262e-02,-1.740182578579710093e-01,1.813772268432972901e+00,-3.552456251464275017e+00,0.000000000000000000e+00,-2.128052846623589567e-01
7.499999999999998335e-02,9.818686160151936237e-02,-1.917880827446881709e-01,1.812467471281142828e+00,-3.553325610218255104e+00,0.000000000000000000e+00,-2.030337421039396517e-01
8.000000000000000167e-02,1.072241103718646615e-01,-2.095150499442327285e-01,1.801339537374750055e+00,-3.535388246569106219e+00,0.000000000000000000e+00,-1.961830839931528736e-01
8.500000000000000611e-02,1.161840751689389162e-01,-2.271109935480339903e-01,1.781599519827469891e+00,-3.501005149108592729e+00,0.000000000000000000e+00,-1.921821018206388287e-01
9.000000000000001055e-02,1.250267094942474344e-01,-2.444995569236475541e-01,1.754457757991737976e+00,-3.452534160863146795e+00,0.000000000000000000e+00,-1.909952938611294837e-01
9.500000000000000111e-02,1.337180121796238408e-01,-2.616161559025764749e-01,1.721119705189617433e+00,-3.392321873129173770e+00,0.000000000000000000e+00,-1.926112970359671883e-01
