time,pos1,pos2,vel1,vel2,tau1,tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.592908314391442870e-01
1.000000000000000021e-03,3.221670507287694590e-05,-6.278543268781767983e-05,6.443081830605840166e-02,-1.255659739113048901e-01,0.000000000000000000e+00,-9.321718817509829780e-01
2.000000000000000042e-03,1.279441834904750997e-04,-2.493443721012567386e-04,1.270201094347315762e-01,-2.475442887931659230e-01,0.000000000000000000e+00,-9.059010778563294508e-01
3.000000000000000062e-03,2.853651197215706457e-04,-5.561365706112206438e-04,1.878163331028161465e-01,-3.660298361651665444e-01,0.000000000000000000e+00,-8.804527078063852930e-01
4.000000000000000083e-03,5.027099001851686490e-04,-9.797151885602634665e-04,2.468664299746320123e-01,-4.811145336123463512e-01,0.000000000000000000e+00,-8.558019156558021034e-01
5.000000000000000104e-03,7.782551131705586940e-04,-1.516723857370420305e-03,3.042158601805110552e-01,-5.928873999935786454e-01,0.000000000000000000e+00,-8.319246785819092160e-01
6.000000000000000125e-03,1.110322088199492806e-03,-2.163893819677220262e-03,3.599086436129483868e-01,-7.014346341489967607e-01,0.000000000000000000e+00,-8.087977831016330832e-01
7.000000000000000146e-03,1.497275476360966032e-03,-2.918041149504440636e-03,4.139874015133990781e-01,-8.068396961519095356e-01,0.000000000000000000e+00,-7.863988006578714884e-01
8.000000000000000167e-03,1.937521872695049246e-03,-3.776064054604199183e-03,4.664933989279544946e-01,-9.091833902784226540e-01,0.000000000000000000e+00,-7.647060628095992962e-01
9.000000000000001055e-03,2.429508481309749796e-03,-4.734940262317563486e-03,5.174665876680567544e-01,-1.008543948981421190e+00,0.000000000000000000e+00,-7.436986362267792305e-01
1.000000000000000194e-02,2.971721823576997483e-03,-5.791724489648364220e-03,5.669456494637301613e-01,-1.104997117256077743e+00,0.000000000000000000e+00,-7.233562976618401752e-01
1.100000000000000283e-02,3.562686489464302227e-03,-6.943545997675043893e-03,6.149680390422016529e-01,-1.198616236872958263e+00,0.000000000000000000e+00,-7.036595090436212896e-01
1.200000000000000372e-02,4.200963931811785984e-03,-8.187606229941187669e-03,6.615700269048597759e-01,-1.289472330033295533e+00,0.000000000000000000e+00,-6.845893928169313192e-01
1.300000000000000461e-02,4.885151303155125906e-03,-9.521176534054992188e-03,7.067867416108202239e-01,-1.377634182070189173e+00,0.000000000000000000e+00,-6.661277076308752543e-01
1.400000000000000550e-02,5.613880334518959320e-03,-1.094159596538250151e-02,7.506522114064458906e-01,-1.463168422880368746e+00,0.000000000000000000e+00,-6.482568244615738440e-01
1.500000000000000638e-02,6.385816255458465901e-03,-1.244626917143120022e-02,7.931994050674567864e-01,-1.546139606824627366e+00,0.000000000000000000e+00,-6.309597032395662941e-01
1.600000000000000727e-02,7.199656754505614695e-03,-1.403266435528238189e-02,8.344602718441963551e-01,-1.626610290881913112e+00,0.000000000000000000e+00,-6.142198700387794252e-01
1.700000000000000816e-02,8.054130979077738645e-03,-1.569831131623653647e-02,8.744657804215520969e-01,-1.704641110883086119e+00,0.000000000000000000e+00,-5.980213948722907791e-01
1.800000000000000905e-02,8.947998573826870111e-03,-1.744079956568014844e-02,9.132459568233123326e-01,-1.780290855686181395e+00,0.000000000000000000e+00,-5.823488701299484038e-01
1.900000000000000994e-02,9.880048756346140881e-03,-1.925777651606001145e-02,9.508299212066726458e-01,-1.853616539186238477e+00,0.000000000000000000e+00,-5.671873896841177487e-01
2.000000000000001082e-02,1.084909942910228589e-02,-2.114694574075796571e-02,9.872459235064575678e-01,-1.924673470079919735e+00,0.000000000000000000e+00,-5.525225286821857651e-01
2.100000000000001171e-02,1.185399632642896578e-02,-2.310606530259120758e-02,1.022521377900635242e+00,-1.993515319328680535e+00,0.000000000000000000e+00,-5.383403240379476262e-01
2.200000000000001260e-02,1.289361219539247351e-02,-2.513294614861737164e-02,1.056682896079098599e+00,-2.060194185284647261e+00,0.000000000000000000e+00,-5.246272556282622901e-01
2.300000000000001349e-02,1.396684600932791842e-02,-2.722545056889671966e-02,1.089756319306642407e+00,-2.124760656460916941e+00,0.000000000000000000e+00,-5.113702281966231444e-01
2.400000000000001438e-02,1.507262221283884457e-02,-2.938149071685316679e-02,1.121766749278771513e+00,-2.187263871943109894e+00,0.000000000000000000e+00,-4.985565539610947172e-01
