time,pos1,pos2,vel1,vel2,tau1,tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.248256758487054974e-01,0.000000000000000000e+00
5.000000000000000104e-03,-1.473981913180850457e-04,3.526653459569371418e-04,-5.894820254735123194e-02,1.410318465012727340e-01,-1.371469113300858300e+00,0.000000000000000000e+00
1.000000000000000021e-02,-7.207597480556705372e-04,1.724257925645646594e-03,-1.703532559025527082e-01,4.074715171081149112e-01,-1.851261298663686938e+00,0.000000000000000000e+00
1.499999999999999944e-02,-1.947856120542106658e-03,4.658830995436989003e-03,-3.203921863839230277e-01,7.660693140925440847e-01,-2.207715731454157115e+00,0.000000000000000000e+00
2.000000000000000042e-02,-3.995942845422723738e-03,9.554585312862318505e-03,-4.986844200073881073e-01,1.191742469501794410e+00,-2.468955352063896047e+00,0.000000000000000000e+00
2.500000000000000139e-02,-6.985870955236506141e-03,1.669730209587122829e-02,-6.970493468407003013e-01,1.664607512996035155e+00,-2.650686875809662002e+00,0.000000000000000000e+00
3.000000000000000236e-02,-1.100056277154876430e-02,2.628029551073161885e-02,-9.084953966329591957e-01,2.167558500622762452e+00,-2.761654288721807404e+00,0.000000000000000000e+00
3.500000000000000333e-02,-1.608953024669219911e-02,3.841487231148009440e-02,-1.126649173091238909e+00,2.684895418110850862e+00,-2.826585220571390611e+00,0.000000000000000000e+00
4.000000000000000083e-02,-2.227520666746451300e-02,5.314510211678830781e-02,-1.347052043187503489e+00,3.205421228950301682e+00,-2.882544701170675516e+00,0.000000000000000000e+00
4.499999999999999833e-02,-2.956501086744704396e-02,7.047626882281146643e-02,-1.568155552702295452e+00,3.724814060196079968e+00,-2.913116474441352466e+00,0.000000000000000000e+00
4.999999999999999584e-02,-3.795502640720977566e-02,9.038323350557070368e-02,-1.786975283686311755e+00,4.235230118118975540e+00,-2.903613102378523436e+00,0.000000000000000000e+00
5.499999999999999334e-02,-4.742323683613929031e-02,1.127938638272579230e-01,-1.999261436635336286e+00,4.725733721474590254e+00,-2.871444957853512392e+00,0.000000000000000000e+00
5.999999999999999084e-02,-5.792980394125697707e-02,1.375894282257857926e-01,-2.202142060685267300e+00,5.188642295754018363e+00,-2.830343025422744851e+00,0.000000000000000000e+00
6.499999999999998834e-02,-6.942330721687854644e-02,1.646193723782460316e-01,-2.393863870103682956e+00,5.618932976220792241e+00,-2.785631718160952008e+00,0.000000000000000000e+00
6.999999999999999278e-02,-8.184475206202375397e-02,1.937109123873670957e-01,-2.573159274280611530e+00,6.012763917743217057e+00,-2.738858495317877395e+00,0.000000000000000000e+00
7.499999999999999722e-02,-9.512937134777214865e-02,2.246735413604083187e-01,-2.738996199765308059e+00,6.366916851186076087e+00,-2.690489582972064753e+00,0.000000000000000000e+00
8.000000000000000167e-02,-1.092077260298933150e-01,2.573020677260883238e-01,-2.890546832487363549e+00,6.678763972873189125e+00,-2.640102086648074220e+00,0.000000000000000000e+00
8.500000000000000611e-02,-1.240066808008714189e-01,2.913795613200287349e-01,-3.027167960361897503e+00,6.946261333203976207e+00,-2.586918474454980910e+00,0.000000000000000000e+00
9.000000000000001055e-02,-1.394503648868966050e-01,3.266804520986149596e-01,-3.148413721592045356e+00,7.168013529403173045e+00,-2.529839927157882862e+00,0.000000000000000000e+00
