time,pos1,pos2,vel1,vel2,tau1,tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.584494902250947579e-01
5.000000000000000104e-03,7.205897509835526831e-04,-1.404327450376581651e-03,2.881511418149002579e-01,-5.615703205080041505e-01,0.000000000000000000e+00,-7.646212115383614893e-01
1.000000000000000021e-02,2.801048951064762094e-03,-5.458983502204340331e-03,5.437846334978042595e-01,-1.059821971008703123e+00,0.000000000000000000e+00,-6.590007004956318637e-01
1.499999999999999944e-02,6.066510783069280210e-03,-1.182356725407002901e-02,7.620029825373924037e-01,-1.485257886890412271e+00,0.000000000000000000e+00,-5.735666748063998899e-01
2.000000000000000042e-02,1.034469251141703280e-02,-2.016293235367119102e-02,9.487375209969396428e-01,-1.849477377696613134e+00,0.000000000000000000e+00,-5.050258308234363280e-01
2.500000000000000139e-02,1.549041411432144390e-02,-3.019493517083183393e-02,1.108896807288297648e+00,-2.162080093421003824e+00,0.000000000000000000e+00,-4.503384363701228854e-01
3.000000000000000236e-02,2.138068352204554670e-02,-4.168082739795921782e-02,1.246447096642290475e+00,-2.430823971739965117e+00,0.000000000000000000e+00,-4.068105338036890339e-01
3.500000000000000333e-02,2.791026975842883506e-02,-5.441660468870827133e-02,1.364526536758176034e+00,-2.661848736871286647e+00,0.000000000000000000e+00,-3.721343351305936298e-01
4.000000000000000083e-02,3.498788469136912549e-02,-6.822554568570944611e-02,1.465574242620187650e+00,-2.859928220604600835e+00,0.000000000000000000e+00,-3.443914335099786395e-01
4.499999999999999833e-02,4.253301536564629143e-02,-8.295202240603062604e-02,1.551461388284202103e+00,-3.028726458800635513e+00,0.000000000000000000e+00,-3.220296645310095074e-01
4.999999999999999584e-02,5.047339426215990271e-02,-9.845655660402974352e-02,1.623615232240733119e+00,-3.171039885701903760e+00,0.000000000000000000e+00,-3.038234593490375945e-01
5.499999999999999334e-02,5.874305733858874168e-02,-1.146120237892768734e-01,1.683130135673318595e+00,-3.289014070725264194e+00,0.000000000000000000e+00,-2.888258847016349495e-01
5.999999999999999084e-02,6.728091647517761564e-02,-1.313008614032183385e-01,1.730862224640410618e+00,-3.384328488874242868e+00,0.000000000000000000e+00,-2.763187493473766576e-01
6.499999999999998834e-02,7.602976141582877545e-02,-1.484131152597376324e-01,1.767506446235818540e+00,-3.458346902566159287e+00,0.000000000000000000e+00,-2.657653632697900004e-01
6.999999999999999278e-02,8.493560406994497824e-02,-1.658451540803403679e-01,1.793656394052445480e+00,-3.512234097258144505e+00,0.000000000000000000e+00,-2.567688792508981410e-01
7.499999999999999722e-02,9.394728279042705021e-02,-1.834988912619386903e-01,1.809848438282839478e+00,-3.547041972378571995e+00,0.000000000000000000e+00,-2.490377149773056742e-01
8.000000000000000167e-02,1.030162537045709314e-01,-2.012813714988913039e-01,1.816592413872691436e+00,-3.563769387876046135e+00,0.000000000000000000e+00,-2.423584099715777040e-01
8.500000000000000611e-02,1.120965082596042106e-01,-2.191046034760213701e-01,1.814391445429921035e+00,-3.563400800513246480e+00,0.000000000000000000e+00,-2.365754437961681833e-01
9.000000000000001055e-02,1.211445690688069260e-01,-2.368855450798050266e-01,1.803753493541563557e+00,-3.546928735656752263e+00,0.000000000000000000e+00,-2.315770232529568151e-01
9.500000000000001499e-02,1.301195285266869284e-01,-2.545461717497605747e-01,1.785196982202338356e+00,-3.515364701863971764e+00,0.000000000000000000e+00,-2.272855997411630524e-01
1.000000000000000194e-01,1.389831055702646367e-01,-2.720135798936742511e-01,1.759252502089295511e+00,-3.469742444041465923e+00,0.000000000000000000e+00,-2.236518464826910968e-01
1.050000000000000239e-01,1.476997048982573446e-01,-2.892200947433807290e-01,1.726462160980728022e+00,-3.411116605271975466e+00,0.000000000000000000e+00,-2.206509434161973704e-01
1.100000000000000283e-01,1.562364697863143637e-01,-3.061033653692527556e-01,1.687377734666192453e+00,-3.340559052255713368e+00,0.000000000000000000e+00,-2.182802216620902402e-01
1.150000000000000328e-01,1.645633244879776691e-01,-3.226064390609046373e-01,1.642558401910990451e+00,-3.259154397926712132e+00,0.000000000000000000e+00,-2.165574556933490824e-01
1.200000000000000372e-01,1.726530053841832391e-01,-3.386778134962236675e-01,1.592568547482072994e+00,-3.167995670227387262e+00,0.000000000000000000e+00,-2.155193195277073370e-01
1.250000000000000278e-01,1.804810819038741576e-01,-3.542714687718478417e-01,1.537975893038030062e+00,-3.068180638273185767e+00,0.000000000000000000e+00,-2.152197175773374604e-01
1.300000000000000322e-01,1.880259691459310600e-01,-3.693468831595770885e-01,1.479350060146043422e+00,-2.960809003195036482e+00,0.000000000000000000e+00,-2.157278480294158585e-01
